# Constructed from biom file																																																
#OTU ID	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P11_GT85_VI_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_V_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_II_D	P43_BR63_III_D	P8_LV78_I_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Turicella;s__uncultured_bacterium	0	0	0	0	0	0.000689417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023269749	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Dietziaceae;g__Dietzia;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001797663	0	0	0.000629079	0.000808669	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002649645	0	0	0	0	0	0	0	0	0	0.000798961	0	0	0	0	0	0	0	0	0	0	0	0.001776927
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00187992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Gordonia;__	0	0	0	0.00040747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005897617	0.003234676	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;__	0	0	0	0.00040747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000843069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus_erythropolis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003395586	0	0	0	0	0	0	0	0	0	0	0	0.001093494
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Williamsia;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00047824	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Williamsia;s__Williamsia_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001098572	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus;__	0	0	0	0.000475382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus;s__Candidatus_Blastococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010959894	0	0	0	0	0	0	0	0	0	0	0	0.000257555	0.000550444	0.000970403	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus;s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001131222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Nakamurellaceae;g__Nakamurella;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000481754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
