#																																																
#OTU ID	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P11_GT85_VI_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_V_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_II_D	P43_BR63_III_D	P8_LV78_I_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011312217	0	0	0	0	0	0	0	0.004324919	0.001617338	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__uncultured_bacterium	0	0.008064516	0	0.003463497	0.001237186	0	0	0	0.001807564	0	0	0.000170666	0	0	0.000176523	0	0	0	0	0	0	0	0.000239063	0.000585566	0	0.001083946	0	0	0	0	0	0	0	0	0	0.000599221	0	0	0	0	0.000474126	0	0	0	0.01191796	0	0	0.015445599
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__	0	0	0	0.014736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010839456	0	0.000280316	0.000127146	0	0.000565611	0	0	0	0	0	0	0	0	0.000646935	0	0	0.001754386	0	0	0.010521282	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_curvatus	0	0	0	0	0	0	0	0	0	0	0.006006908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000843069	0	0.002803162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000637959	0	0	0.106488124	0	0.006287589
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_jensenii	0	0	0	0.011273345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_sakei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011736425	0	0	0	0	0	0	0	0.005425808	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__uncultured_bacterium	0	0	0.010716571	0.146417657	0.002827854	0	0	0	0	0	0	0	0	0	0.000176523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000565611	0	0	0	0	0	0	0	0	0	0	0	0	0.004392387	0.003880266	0.007173601	0	0.013395298
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc;__	0	0	0	0.00278438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007211538	0	0	0	0	0	0	0	0.03884564	0	0	0	0	0	0	0	0	0.002870421
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc;s__Leuconostoc_carnosum	0.003750756	0	0	0.000475382	0	0	0.001995439	0	0.002919911	0	0.000901036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050480769	0	0	0	0	0	0	0	0.194306833	0	0	0	0.002711324	0	0	0.007333015	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__	0.001572898	0.013626251	0	0.012224109	0	0	0	0	0.036012236	0.003601441	0	0.00075093	0	0.00319622	0	0.003172365	0	0	0	0	0.000983865	0	0	0	0	0.004697097	0.001340962	0	0	0	0.008201357	0.000949504	0	0	0.001179814	0	0	0	0.003066761	0.00727802	0.00176104	0	0.003189793	0	0	0.029172645	0	0
